Cohort Name,Index,CIVM_ID,Animal_ID,Cage_Assignment,Cage Number,Sex,Genotype,Marking,DOB,Age(Years),Age (days),Age Months,Handling Date,Age_at_Handling,Group_Assignment,Glucose_week0,Glucose_week6,Glucose_week12,Glucose_week20,Glucose_Week_28,Glucose_Week30,Weight_week0,Weight_week1,Weight_week2,Weight_week3,Weight_week4,Weight_week5,Weight_week6,Weight_week7,Weight_week8,Weight_week9,Weight_week10,Weight_week11,Weight_week12,Weight_week13,Weight_week14,Weight_week15,Weight_week16,Weight_week17,Weight_week18,Weight_week19,Weight_week20,Weight_week21,Weight_week22,Weight_week23,Weight_week24,Weight_week25,Weight_week26,Weight_week27,Weight_week28,Weight_week29
HFD_Cohort1_10_5_20,1, ,201012_1,1,1275958,M,E4HN,LR,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,142, ,173, ,,,25,26,27,32,32,33,34,35,36,37,37,38,38,39,41,40,40,40,40,40,40,40,,,,,,,,
HFD_Cohort1_10_5_20,2,210118-2:0,201012_2,1,1275958,M,E4HN,RR,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,123, ,191, ,,,25,29,28,32,32,33,34,36,37,37,36,36,37,37,37,37,37,36,36,36,36,35,,,,,,,,
HFD_Cohort1_10_5_20,3,210118-3:0,201012_3,1,1275958,M,E4HN,LL,1/21/20,2.066666667,756,25.2,1/11/21,11.87,HFD,145, ,198, ,,,28,31,33,37,37,39,42,45,48,49,50,50,50,51,52,52,51,50,49,48,48,48,,,,,,,,
HFD_Cohort1_10_5_20,4,210118-4:0,201012_4,2,1275948,F,E4HN,R,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,116, ,241,237,,,21,23,23,28,32,32,33,36,38,37,36,36,36,38,40,40,39,39,42,44,44,44,46,,,,,,,
HFD_Cohort1_10_5_20,5,210118-5:0,201012_5,2,1275948,F,E4HN,L,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,185, ,241,264,,,23,26,25,27,34,34,36,37,39,39,39,39,39,41,43,42,40,40,40,44,44,44,44,,,,,,,
HFD_Cohort1_10_5_20,6,210118-6:0,201012_6,2,1275948,F,E4HN,LL,1/15/20,2.083333333,762,25.4,1/11/21,12.07,HFD,128, ,206,236,,,23,26,28,32,32,34,35,37,38,39,40,41,41,42,44,43,42,42,43,45,45,45,47,,,,,,,
HFD_Cohort1_10_5_20,7,210118-7:0,201012_7,8,1299774,F,E4HN,L,12/25/19,2.138888889,783,26.1,1/11/21,12.77,HFD,161, ,193,137,,,25,27,28,29,29,31,33,34,36,36,36,36,37,37,38,37,36,36,36,37,36,36,35,,,,,,,
HFD_Cohort1_10_5_20,8,210118-8:0,201012_8,8,1299774,F,E4HN,R,12/25/19,2.138888889,783,26.1,1/11/21,12.77,HFD,98, ,177, ,,,26,30,30,31,34,35,38,40,43,44,44,44,44,45,46,47,48,48,48,48,48,48,,,,,,,,
HFD_Cohort1_10_5_20,9,210118-9:0,201012_9,8,1299774,F,E4HN,LL,12/25/19,2.138888889,783,26.1,1/11/21,12.77,HFD,123, ,202,140,,,25,27,29,30,31,31,32,32,33,36,38,39,39,38,37,37,36,36,36,37,37,37,34,,,,,,,
HFD_Cohort1_10_5_20,10,210118-10:0,201012_10,8,1299774,F,E4HN,LR,12/25/19,2.138888889,783,26.1,1/11/21,12.77,HFD,147, ,186, ,,,28,29,31,31,32,32,32,33,34,35,35,36,36,36,36,37,38,38,38,39,39,39,,,,,,,,
HFD_Cohort1_10_5_20,11,210118-11:0,201012_11,10,1312798,F,E3HN,RR,11/20/19,2.236111111,818,27.26666667,1/11/21,13.93,HFD,105, ,186, ,,,32,37,34,40,39,39,41,43,45,46,46,46,46,46,46,47,48,47,46,45,46,46,,,,,,,,
HFD_Cohort1_10_5_20,12,210118-12:0,201012_12,10,1312798,F,E3HN,R,12/9/19,2.183333333,799,26.63333333,1/11/21,13.3,HFD,171, ,167, ,,,30,34,34,40,38,38,40,43,44,44,44,44,44,44,44,44,43,42,41,39,39,39,,,,,,,,
HFD_Cohort1_10_5_20,13,210118-13:0,201012_13,11,1343433,M,E3HN,LR,2/10/20,2.013888889,736,24.53333333,1/11/21,11.2,HFD,151, ,221, ,,,25,27,27,28,31,30,30,30,30,30,30,33,33,34,34,33,32,32,32,32,32,32,,,,,,,,
HFD_Cohort1_10_5_20,14,,201012_14,11,1343433,M,E3HN,L,12/12/19,2.175,796,26.53333333,1/11/21,13.2,HFD, , , , ,,,28, , , , , , , , , ,,, , , , , ,, , ,,,,,,,,,,
HFD_Cohort1_10_5_20,15,210118-15:0,201012_15,3,1198647,F,E33,L,1/1/20,2.122222222,776,25.86666667,1/11/21,12.53,HFD,150, ,195, ,,,26,29,28,36,36,36,36,36,36,38,40,42,43,44,44,43,42,42,42,47,46,46,,,,,,,,
HFD_Cohort1_10_5_20,16,210118-16:0,201012_16,3,1198647,F,E33,RR,1/1/20,2.122222222,776,25.86666667,1/11/21,12.53,HFD,138, ,151, ,,,27,29,31,40,40,39,38,38,37,38,39,39,39,39,40,40,40,40,40,43,43,43,,,,,,,,
HFD_Cohort1_10_5_20,17,210118-17:0,201012_17,5,1275960,F,E33,L,1/1/20,2.122222222,776,25.86666667,1/11/21,12.53,HFD,109, ,155,208,,,26,27,27,31,32,34,38,43,47,48,48,49,49,50,52,50,49,50,50,43,43,43,43,,,,,,,
HFD_Cohort1_10_5_20,18,210118-18:0,201012_18,5,1275960,F,E33,R,1/1/20,2.122222222,776,25.86666667,1/11/21,12.53,HFD,150, ,173,210,,,29,29,30,33,34,34,35,35,37,38,38,38,38,38,38,36,34,35,36,54,54,54,49,,,,,,,
HFD_Cohort1_10_5_20,19,210118-19:0,201012_19,5,1275960,F,E33,LR,1/2/20,2.119444444,775,25.83333333,1/11/21,12.5,HFD,138, ,183,193,,,27,29,29,31,31,32,33,35,36,37,38,38,38,39,41,41,42,43,43,43,43,43,41,,,,,,,
HFD_Cohort1_10_5_20,20,210118-20:0,201012_20,5,1275960,F,E33,LL,1/2/20,2.119444444,775,25.83333333,1/11/21,12.5,HFD,160, ,189,202,,,28,33,33,40,40,41,41,42,44,46,48,50,50,51,52,53,54,54,55,57,57,57,53,,,,,,,
HFD_Cohort1_10_5_20,21,210118-21:0,201012_21,5,1275960,F,E33,RR,1/2/20,2.119444444,775,25.83333333,1/11/21,12.5,HFD,141, ,192,137,,,29,31,31,36,37,38,39,40,44,45,47,47,47,47,48,48,49,50,50,50,50,50,33,,,,,,,
HFD_Cohort1_10_5_20,22,210118-22:0,201012_22,7,1253158,M,E33,L,1/2/20,2.119444444,775,25.83333333,1/11/21,12.5,HFD,244, ,183,131,,,29,42,43,44,50,50,50,51,51,52,53,53,53,53,53,53,53,53,53,55,55,55,53,,,,,,,
HFD_Cohort1_10_5_20,23,210118-23:0,201012_23,7,1253158,M,E33,R,1/2/20,2.119444444,775,25.83333333,1/11/21,12.5,HFD,195, ,214,143,,,37,33,34,40,40,41,42,43,46,47,47,48,48,47,47,48,50,50,50,52,52,52,46,,,,,,,
HFD_Cohort1_10_5_20,24,210118-24:0,201012_24,9,1253152,M,E33,L,1/1/20,2.122222222,776,25.86666667,1/11/21,12.53,HFD,134, ,247,149,,,28,35,33,38,38,41,43,44,47,47,47,47,47,48,48,47,47,47,48,46,46,46,48,,,,,,,
HFD_Cohort1_10_5_20,25,210118-25:0,201012_25,9,1253152,M,E33,R,1/1/20,2.122222222,776,25.86666667,1/11/21,12.53,HFD,160, ,198,223,,,27,32,31,37,37,37,37,38,38,39,38,39,39,41,42,43,43,43,43,48,47,47,47,,,,,,,
HFD_Cohort1_10_5_20,26,210118-26:0,201012_26,9,1253152,M,E33,LR,1/1/20,2.122222222,776,25.86666667,1/11/21,12.53,HFD,187, ,267,180,,,26,38,38,47,50,50,50,50,50,51,52,53,53,53,54,54,53,54,56,57,57,57,57,,,,,,,
HFD_Cohort1_10_5_20,27,210118-27:0,201012_27,9,1253152,M,E33,LL,1/1/20,2.122222222,776,25.86666667,1/11/21,12.53,HFD,145, ,190,238,,,28,31,30,36,36,36,36,37,37,36,35,35,35,37,38,39,39,44,47,51,51,51,46,,,,,,,
 , , , , , , , , , ,,,, , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
January_Mixed_Cohort HFD+HFCTRL,1,210817-17:0,210112_1,Cage_1,1362659,F,E4HN ,R,4/6/20,1.858333333,680,22.66666667,4/12/21,12.37,HFD ,204,,,,,171,28,29,29,30,34,38,37,38,38,38,38,38,39,39,41,41,42,43,43,43,43,44,44,45,45,45, ,53,52,
January_Mixed_Cohort HFD+HFCTRL,2,210730-4:0,210112_2,Cage_1,1362659,F,E4HN ,LR,4/6/20,1.858333333,680,22.66666667,4/12/21,12.37,HFD ,183,,,,,163,26,27,30,32,33,35,35,37,38,40,41,43,43,45,45,46,48,49,50,51,51,52,52,51,50,51, ,58,57,
January_Mixed_Cohort HFD+HFCTRL,3,,210112_3,Cage_1,1362659(1299175),F,E4HN ,L,4/29/20,1.794444444,657,21.9,4/12/21,11.6,HFD ,168,,,,,142,27,29,31,33,34,34,39,37,38,39,-,-,-,-,-,-,-,-,-,,,,,,,, ,54, ,
January_Mixed_Cohort HFD+HFCTRL,4,210817-1:0,210112_4,Cage_1,1362659(1299175),F,E4HN ,LL,4/6/20,1.858333333,680,22.66666667,4/12/21,12.37,HFD ,183,,,,,235,26,28,31,34,34,35,38,36,37,39,39,39,41,41,41,43,43,44,44,,,,,,,, , ,53,
January_Mixed_Cohort HFD+HFCTRL,5,210817-2:0,210112_5,Cage_2,1324361,M,E4HN ,L,4/15/20,1.833333333,671,22.36666667,4/12/21,12.07,Control ,137,,,,,154,28,29,29,29,-,-,-,-,-,-,-,-,-,-,-,-,-,28,28,,,,,,,, ,30,29,
January_Mixed_Cohort HFD+HFCTRL,6,210817-3:0,210112_6,Cage_2,1324361,M,E4HN ,R,4/15/20,1.833333333,671,22.36666667,4/12/21,12.07,Control ,207,,,,,198,30,30,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,29,29,,,,,,,, ,32,31,
January_Mixed_Cohort HFD+HFCTRL,7,210817-4:0,210112_7,Cage_2,1324361,M,E4HN ,LR,4/15/20,1.833333333,671,22.36666667,4/12/21,12.07,Control ,213,,,,,186,33,31,31,31,-,-,-,-,-,-,-,-,-,-,-,-,-,32,33,,,,,,,, ,36,35,
January_Mixed_Cohort HFD+HFCTRL,8,210817-18:0,210112_8,Cage_2,1324361,M,E4HN ,LL,4/15/20,1.833333333,671,22.36666667,4/12/21,12.07,Control ,161,,,,,163,25,27,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,,,,,,,, ,29,28,
January_Mixed_Cohort HFD+HFCTRL,9,210817-5:0,210112_9,Cage_3,1324349,M,E4HN ,L,4/21/20,1.816666667,665,22.16666667,4/12/21,11.87,HFD ,191,,,,,186,32,33,33,34,38,42,37,38,39,40,41,41,43,44,44,46,47,48,50,50,50,50,50,51,50,50, ,47,46,
January_Mixed_Cohort HFD+HFCTRL,10,,  ,Cage_3,1324349,M,E4HN ,R,4/21/20,1.816666667,665,22.16666667,4/12/21,11.87,HFD ,152,,,,, ,29,30,31,32,34,35,40,41,42,43,44,45,46,46,47,48,49,49,49,49,49,48,48,49,48,48, , , ,
January_Mixed_Cohort HFD+HFCTRL,11,210730-3:0,210112_11,Cage_3,1324349,M,E4HN ,LR,4/21/20,1.816666667,665,22.16666667,4/12/21,11.87,HFD ,199,,,,,190,32,33,35,37,39,41,44,48,49,49,49,50,50,51,51,52,52,53,53,54,54,55,55,55,56,55, ,55,53,
January_Mixed_Cohort HFD+HFCTRL,12,210817-19:0,210112_12,Cage_3,1324349,M,E4HN ,LL,4/21/20,1.816666667,665,22.16666667,4/12/21,11.87,HFD ,219,,,,,231,28,29,31,33,35,36,37,40,40,41,43,43,44,45,45,46,47,48,48,48,48,49,50,50,49,50, ,54,53,
January_Mixed_Cohort HFD+HFCTRL,13,,210112_13,Cage_4,1324350,F,E4HN ,L,4/21/20,1.816666667,665,22.16666667,4/12/21,11.87,Control ,207,,,,,152,25,25,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,,,,,,,, , ,27,
January_Mixed_Cohort HFD+HFCTRL,14,210817-6:0,210112_14,Cage_4,1324350,F,E4HN ,R,4/21/20,1.816666667,665,22.16666667,4/12/21,11.87,Control ,216,,,,,175,27,27,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,28,28,,,,,,,, , ,31,
January_Mixed_Cohort HFD+HFCTRL,15,210817-7:0,210112_15,Cage_4,1324350,F,E4HN ,LR,4/21/20,1.816666667,665,22.16666667,4/12/21,11.87,Control ,202,,,,,153,23,24,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,,,,,,,, , ,26,
January_Mixed_Cohort HFD+HFCTRL,16,210730-8:0,210112_16,Cage_4,1324350,F,E4HN ,LL,4/21/20,1.816666667,665,22.16666667,4/12/21,11.87,Control ,173,,,,,162,23,25,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27,,,,,,,, , ,26,
January_Mixed_Cohort HFD+HFCTRL,17,210817-9:0,210112_17,Cage_4,1324350,F,E4HN ,LRR,4/29/20,1.794444444,657,21.9,4/12/21,11.6,Control ,220,,,,,138,23,24,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,28,28,,,,,,,, , ,25,
January_Mixed_Cohort HFD+HFCTRL,18,210730-5:0,210112_18,Cage_5,1299771,M,E3HN,LR,4/28/20,1.797222222,658,21.93333333,4/12/21,11.63,HFD ,192*,,,,,143,24,31,34,38,39,40,39,41,44,47,48,48,49,49,49,49,50,50,50,51,51,51,52,51,51,50, ,53,52,
January_Mixed_Cohort HFD+HFCTRL,19,210817-10:0,210112_19,Cage_5,1299771,M,E3HN,LL,4/28/20,1.797222222,658,21.93333333,4/12/21,11.63,HFD ,192*,,,,,218,25,33,35,38,38,40,40,43,45,48,50,50,51,51,53,53,53,53,53,53,53,54,54,55,55,55, ,55,55,
January_Mixed_Cohort HFD+HFCTRL,20,210817-11:0,210112_20,Cage_5,1299771,M,E3HN,RR,4/28/20,1.797222222,658,21.93333333,4/12/21,11.63,HFD ,192*,,,,,201,26,33,35,39,40,41,41,42,45,47,47,47,47,48,48,48,48,48,48,48,48,49,50,51,50,51, ,55,52,
January_Mixed_Cohort HFD+HFCTRL,21,210730-6:0,210112_21,Cage_6,1343452,F,E3HN,LR,4/28/20,1.797222222,658,21.93333333,4/12/21,11.63,HFD ,207,,,,,188,28,31,33,35,42,41,41,43,37,37,39,41,44,46,47,48,49,49,49,49,49,49,49,49,50,49, ,62,59,
January_Mixed_Cohort HFD+HFCTRL,22,,210112_22,Cage_6,1343452,F,E3HN,LLR,3/10/20,1.930555556,707,23.56666667,4/12/21,13.27,HFD ,192.5*,,,,,239,-,-,-,-,-,41,42,43,40,40,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,, , ,
January_Mixed_Cohort HFD+HFCTRL,23,210817-12:0,210112_23,Cage_6,1343452,F,E3HN,L,3/10/20,1.930555556,707,23.56666667,4/12/21,13.27,HFD ,192.5*,,,,,162,-,-,-,-,-,38,38,40,40,40,41,43,45,45,47,48,49,50,51,51,50,50,50,51,50,50, ,58,57,
January_Mixed_Cohort HFD+HFCTRL,24,210817-13:0,210112_24,Cage_6,1343452,F,E3HN,LL,4/28/20,1.797222222,658,21.93333333,4/12/21,11.63,HFD ,178,,,,,159,26,29,34,36,39,40,39,44,39,39,40,40,42,44,46,47,48,48,48,48,49,49,50,49,49,49, ,55,55,
January_Mixed_Cohort HFD+HFCTRL,25,210817-14:0,210112_25,Cage_7,1324359,M,E44,L,4/6/20,1.858333333,680,22.66666667,4/12/21,12.37,HFD ,152,,,,,237,32,32,33,36,37,37,38,40,40,41,42,43,44,44,46,47,47,48,49,49,48,49,49,49,49,50, ,51,50,
January_Mixed_Cohort HFD+HFCTRL,26,210730-7:0,210112_26,Cage_7,1324359,M,E44,R,4/6/20,1.858333333,680,22.66666667,4/12/21,12.37,HFD ,242,,,,,199,29,30,33,36,37,38,40,42,44,45,45,46,46,46,46,47,47,47,48,48,49,49,49,50,51,51, ,52,51,
January_Mixed_Cohort HFD+HFCTRL,27,210730-8:0,210112_27,Cage_8,1324352,F,E44,L,4/6/20,1.858333333,680,22.66666667,4/12/21,12.37,HFD ,154,,,,,192,26,28,30,34,30,29,40,42,41,41,42,42,43,43,44,45,46,46,46,46,46,47,47,48,49,49, ,50,50,
January_Mixed_Cohort HFD+HFCTRL,28,210817-15:0,210112_28,Cage_8,1324352,F,E44,R,4/6/20,1.858333333,680,22.66666667,4/12/21,12.37,HFD ,179,,,,,205,27,28,30,33,35,37,29,33,32,32,32,33,33,34,35,36,37,37,38,38,39,40,40,41,41,41, ,48,45,
January_Mixed_Cohort HFD+HFCTRL,29,210817-16:0,210112_29,Cage_8,1324352,F,E44,LR,4/16/20,1.830555556,670,22.33333333,4/12/21,12.03,HFD ,146,,,,,216,23,25,26,26,26,26,29,30,30,30,30,30,31,32,32,33,33,34,34,35,35,35,36,36,37,37, ,36,35,
 , , , , , , , , , ,,,, , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CTRL_12MnthCohort2_2_1_21,1,,210201_1,12C1,1253165,F,E33,L,1/2/20,2.119444444,775,25.83333333,2/1/21,13.2,Control ,213,,125,172,,,28,,,,,,,,,,,,30,,,,,,,,35,,,,,,,,,
CTRL_12MnthCohort2_2_1_21,2,210201-2:0,210201_2,12C1,1253165,F,E33,R,1/2/20,2.119444444,775,25.83333333,2/1/21,13.2,Control ,160,,142,193,,,29,,,,,,,,,,,,30,,,,,,,,28,,,,,,,,,
CTRL_12MnthCohort2_2_1_21,3,210201-3:0,210201_3,12C1,1253165,F,E33,LR,1/2/20,2.119444444,775,25.83333333,2/1/21,13.2,Control ,167,,126,182,,,30,,,,,,,,,,,,34,,,,,,,,34,,,,,,,,,
CTRL_12MnthCohort2_2_1_21,4,210201-4:0,210201_4,12C1,1253165,F,E33,LL,1/2/20,2.119444444,775,25.83333333,2/1/21,13.2,Control ,218,,137,142,,,30,,,,,,,,,,,,33,,,,,,,,27,,,,,,,,,
CTRL_12MnthCohort2_2_1_21,5,210201-5:0,210201_5,12C1,1253165,F,E33,RR,1/2/20,2.119444444,775,25.83333333,2/1/21,13.2,Control ,166,,127,192,,,27,,,,,,,,,,,,28,,,,,,,,28,,,,,,,,,
CTRL_12MnthCohort2_2_1_21,6,210201-6:0,210201_6,12C2,1275963,F,E44,L,3/4/20,1.947222222,713,23.76666667,2/1/21,11.13,Control ,195,,228,185,,,25,,,,,,,,,,,,27,,,,,,,,28,,,,,,,,,
CTRL_12MnthCohort2_2_1_21,7,210201-7:0,210201_7,12C2,1275963,F,E44,R,3/4/20,1.947222222,713,23.76666667,2/1/21,11.13,Control ,172,,158,215,,,23,,,,,,,,,,,,26,,,,,,,,27,,,,,,,,,
CTRL_12MnthCohort2_2_1_21,8,210201-8:0,210201_8,12C2,1275963,F,E44,LR,3/4/20,1.947222222,713,23.76666667,2/1/21,11.13,Control ,181,,188,214,,,24,,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,
CTRL_12MnthCohort2_2_1_21,9,210201-9:0,210201_9,12C2,1275963,F,E44,LL,3/4/20,1.947222222,713,23.76666667,2/1/21,11.13,Control ,188,,168,163,,,22,,,,,,,,,,,,24,,,,,,,,28,,,,,,,,,
