,Date :,########,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Day2_Acclimation, 0:00:00.000,180,0,5400,,,,,,,,
,Day2_CSTone, 0:03:00.000,360,5400,10800,,,,,,,,
,Day2_Exploration, 0:06:00.000,450,10800,13500,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210624_1,VF052621_115226,day2_1,Chamber1,,Day2_Acclimation,12,178.833,39.74,99.35,0.31,0,64,
210624_1,VF052621_115226,day2_1,Chamber1,,Day2_CSTone,7,269.767,59.95,74.94,0.19,0,34,
210624_1,VF052621_115226,day2_1,Chamber1,,Day2_Exploration,1,90,20,20,0.18,0,11,
,,,,,,,,,,,,,
210624_2,VF052621_115226,day2_1,Chamber 2,,Day2_Acclimation,2,179.967,39.99,99.98,0.04,0,18,
210624_2,VF052621_115226,day2_1,Chamber 2,,Day2_CSTone,1,270,60,75,0.01,0,8,
210624_2,VF052621_115226,day2_1,Chamber 2,,Day2_Exploration,1,90,20,20,0,0,2,
,,,,,,,,,,,,,
210624_3,VF052621_120455,day2_2,Chamber1,,Day2_Acclimation,2,179.933,39.99,99.96,0.09,0,22,
210624_3,VF052621_120455,day2_2,Chamber1,,Day2_CSTone,1,270,60,75,0.01,0,13,
210624_3,VF052621_120455,day2_2,Chamber1,,Day2_Exploration,1,90,20,20,0.01,0,13,
,,,,,,,,,,,,,
210624_4,VF052621_120455,day2_2,Chamber 2,,Day2_Acclimation,14,178.533,39.67,99.19,0.4,0,76,
210624_4,VF052621_120455,day2_2,Chamber 2,,Day2_CSTone,4,269.867,59.97,74.96,0.07,0,30,
210624_4,VF052621_120455,day2_2,Chamber 2,,Day2_Exploration,4,89.867,19.97,19.97,0.19,0,30,
,,,,,,,,,,,,,
210624_5,VF052621_121719,day2_3,Chamber1,,Day2_Acclimation,30,172.567,38.35,95.87,1.14,0,165,
210624_5,VF052621_121719,day2_3,Chamber1,,Day2_CSTone,59,248.3,55.18,68.97,1.88,0,102,
210624_5,VF052621_121719,day2_3,Chamber1,,Day2_Exploration,14,83.167,18.48,18.48,1.35,0,75,
,,,,,,,,,,,,,
210624_6,VF052621_121719,day2_3,Chamber 2,,Day2_Acclimation,5,179.867,39.97,99.93,0.1,0,23,
210624_6,VF052621_121719,day2_3,Chamber 2,,Day2_CSTone,1,270,60,75,0.01,0,8,
210624_6,VF052621_121719,day2_3,Chamber 2,,Day2_Exploration,1,90,20,20,0.01,0,6,
,,,,,,,,,,,,,
210624_7,VF052621_122930,day2_4,Chamber1,,Day2_Acclimation,27,176.133,39.14,97.85,0.58,0,51,
210624_7,VF052621_122930,day2_4,Chamber1,,Day2_CSTone,8,269.267,59.84,74.8,0.16,0,72,
210624_7,VF052621_122930,day2_4,Chamber1,,Day2_Exploration,5,89.533,19.9,19.9,0.38,0,72,
,,,,,,,,,,,,,
210624_8,VF052621_122930,day2_4,Chamber 2,,Day2_Acclimation,23,175.433,38.99,97.46,0.69,0,64,
210624_8,VF052621_122930,day2_4,Chamber 2,,Day2_CSTone,13,268.967,59.77,74.71,0.24,0,51,
210624_8,VF052621_122930,day2_4,Chamber 2,,Day2_Exploration,8,89.733,19.94,19.94,0.36,0,51,
,,,,,,,,,,,,,
210624_9,VF052621_123940,day2_5,Chamber1,,Day2_Acclimation,29,176.367,39.19,97.98,0.91,0,94,
210624_9,VF052621_123940,day2_5,Chamber1,,Day2_CSTone,4,269.733,59.94,74.93,0.08,0,22,
210624_9,VF052621_123940,day2_5,Chamber1,,Day2_Exploration,1,90,20,20,0,0,2,
,,,,,,,,,,,,,
210624_10,VF052621_123940,day2_5,Chamber 2,,Day2_Acclimation,4,179.533,39.9,99.74,0.13,0,22,
210624_10,VF052621_123940,day2_5,Chamber 2,,Day2_CSTone,2,269.967,59.99,74.99,0.01,0,17,
210624_10,VF052621_123940,day2_5,Chamber 2,,Day2_Exploration,1,90,20,20,0,0,1,
,,,,,,,,,,,,,
210624_11,VF052621_124935,day2_6,Chamber1,,Day2_Acclimation,15,178.467,39.66,99.15,0.46,0,24,
210624_11,VF052621_124935,day2_6,Chamber1,,Day2_CSTone,5,269.833,59.96,74.95,0.13,0,28,
210624_11,VF052621_124935,day2_6,Chamber1,,Day2_Exploration,4,89.867,19.97,19.97,0.28,0,28,
,,,,,,,,,,,,,
210624_12,VF052621_124935,day2_6,Chamber 2,,Day2_Acclimation,1,180,40,100,0.05,0,11,
210624_12,VF052621_124935,day2_6,Chamber 2,,Day2_CSTone,1,270,60,75,0.02,0,14,
210624_12,VF052621_124935,day2_6,Chamber 2,,Day2_Exploration,1,90,20,20,0.01,0,3,
,,,,,,,,,,,,,
210624_13,VF052621_130009,day2_7,Chamber1,,Day2_Acclimation,4,179.867,39.97,99.93,0.14,0,20,
210624_13,VF052621_130009,day2_7,Chamber1,,Day2_CSTone,6,269.467,59.88,74.85,0.23,0,26,
210624_13,VF052621_130009,day2_7,Chamber1,,Day2_Exploration,6,89.467,19.88,19.88,0.56,0,26,
,,,,,,,,,,,,,
210624_14,VF052621_130009,day2_7,Chamber 2,,Day2_Acclimation,4,179.9,39.98,99.94,0.17,0,21,
210624_14,VF052621_130009,day2_7,Chamber 2,,Day2_CSTone,3,269.933,59.99,74.98,0.04,0,38,
210624_14,VF052621_130009,day2_7,Chamber 2,,Day2_Exploration,2,89.967,19.99,19.99,0.07,0,38,
,,,,,,,,,,,,,
210624_15,VF052621_131034,day2_8,Chamber1,,Day2_Acclimation,33,176.1,39.13,97.83,1.21,0,78,
210624_15,VF052621_131034,day2_8,Chamber1,,Day2_CSTone,18,268.8,59.73,74.67,0.28,0,38,
210624_15,VF052621_131034,day2_8,Chamber1,,Day2_Exploration,4,89.867,19.97,19.97,0.13,0,19,
,,,,,,,,,,,,,
210624_16,VF052621_131034,day2_8,Chamber 2,,Day2_Acclimation,2,179.967,39.99,99.98,0.15,0,18,
210624_16,VF052621_131034,day2_8,Chamber 2,,Day2_CSTone,2,269.967,59.99,74.99,0.08,0,15,
210624_16,VF052621_131034,day2_8,Chamber 2,,Day2_Exploration,1,90,20,20,0.07,0,11,
,,,,,,,,,,,,,
210624_17,VF052621_132254,day2_9,Chamber1,,Day2_Acclimation,36,168.233,37.39,93.46,1.43,0,81,
210624_17,VF052621_132254,day2_9,Chamber1,,Day2_CSTone,43,262.267,58.28,72.85,0.89,0,80,
210624_17,VF052621_132254,day2_9,Chamber1,,Day2_Exploration,19,84.5,18.78,18.78,1.53,0,80,
,,,,,,,,,,,,,
210624_18,VF052621_132254,day2_9,Chamber 2,,Day2_Acclimation,47,174.533,38.79,96.96,0.94,0,44,
210624_18,VF052621_132254,day2_9,Chamber 2,,Day2_CSTone,38,264.667,58.81,73.52,0.6,0,50,
210624_18,VF052621_132254,day2_9,Chamber 2,,Day2_Exploration,18,87.267,19.39,19.39,0.86,0,50,
,,,,,,,,,,,,,
210624_19,VF052621_133324,day2_10,Chamber1,,Day2_Acclimation,25,175.667,39.04,97.59,0.82,0,188,
210624_19,VF052621_133324,day2_10,Chamber1,,Day2_CSTone,29,268.067,59.57,74.46,0.41,0,61,
210624_19,VF052621_133324,day2_10,Chamber1,,Day2_Exploration,11,89.267,19.84,19.84,0.49,0,39,
,,,,,,,,,,,,,
210624_20,VF052621_133324,day2_10,Chamber 2,,Day2_Acclimation,74,143.7,31.93,79.83,3.93,0,102,
210624_20,VF052621_133324,day2_10,Chamber 2,,Day2_CSTone,13,267.5,59.44,74.31,0.29,0,59,
210624_20,VF052621_133324,day2_10,Chamber 2,,Day2_Exploration,5,88.033,19.56,19.56,0.47,0,59,
,,,,,,,,,,,,,
210624_21,VF052621_134428,day2_11,Chamber1,,Day2_Acclimation,37,162.733,36.16,90.41,2.4,0,164,
210624_21,VF052621_134428,day2_11,Chamber1,,Day2_CSTone,51,252.767,56.17,70.21,1.64,0,96,
210624_21,VF052621_134428,day2_11,Chamber1,,Day2_Exploration,26,83,18.44,18.44,2.09,0,55,
,,,,,,,,,,,,,
210624_22,VF052621_134428,day2_11,Chamber 2,,Day2_Acclimation,3,179.933,39.99,99.96,0.08,0,53,
210624_22,VF052621_134428,day2_11,Chamber 2,,Day2_CSTone,1,270,60,75,0.02,0,12,
210624_22,VF052621_134428,day2_11,Chamber 2,,Day2_Exploration,1,90,20,20,0.01,0,5,