date,week,201012-1,201012-2,201012-3,201012-4,201012-5,201012-6,201012-7,201012-8,201012-9,201012-10,201012-11,201012-12,201012-13,201012-14,201012-15,201012-16,201012-17,201012-18,201012-19,201012-20,201012-21,201012-22,201012-23,201012-24,201012-25,201012-26,201012-27,,E4HN,E3HN,E33
10/16,1,26,29,31,23,26,26,27,30,27,29,37,34,27,,29,29,27,29,29,33,31,42,33,35,32,38,31,,28.61538462,28.33333333,32.15384615
10/19,2,27,28,33,23,25,28,28,30,29,31,34,34,27,,28,31,27,30,29,33,31,43,34,33,31,38,30,,29,28.66666667,32.15384615
10/26,3,27.00,28.00,34.00,23.00,26.00,29.00,29.00,30.00,30.00,31.00,30.00,34.00,28.00,,29.00,32.00,28.00,31.00,29.00,34.00,31.00,44.00,35.00,33.00,32.00,38.00,31.00,,29.15384615,29.66666667,32.84615385
11/2,4,32,32,37,28,27,32,29,31,30,31,40,40,28,,36,40,31,33,31,40,36,44,40,38,37,47,36,,32.07692308,35.66666667,37.61538462
11/9,5,32,32,37,32,34,32,29,34,31,32,39,38,31,,36,40,32,34,31,40,37,50,40,38,37,50,36,,33.30769231,36,38.53846154
11/16,6,33,33,39,32,34,34,31,35,31,32,39,38,30,,36,39,34,34,32,41,38,50,41,41,37,50,36,,33.92307692,36.33333333,39.15384615
11/23,7,34,34,42,33,36,35,33,38,32,32,41,40,30,,36,38,38,35,33,41,39,50,42,43,37,50,36,,35.38461538,37.33333333,39.84615385
11/30,8,35,36,45,36,37,37,34,40,32,33,43,43,30,,36,38,43,35,35,42,40,51,43,44,38,50,37,,37,39,40.92307692
12/7,9,36,37,48,38,39,38,36,43,33,34,45,44,30,,36,37,47,37,36,44,44,51,46,47,38,50,37,,38.53846154,40,42.30769231
12/14,10,37,37,49,37,39,39,36,44,36,35,46,44,30,,38,38,48,38,37,46,45,52,47,47,39,51,36,,39.15384615,41.33333333,43.23076923
12/21,11,37,36,50,36,39,40,36,44,38,35,46,44,30,,40,39,48,38,38,48,47,53,47,47,38,52,35,,39.30769231,42.33333333,43.84615385
12/28,12,38,36,50,36,39,41,36,44,39,36,46,44,33,,42,39,49,38,38,50,47,53,48,47,39,53,35,,39.84615385,43.33333333,44.46153846
1/4,13,38,37,50,36,39,41,37,44,39,36,46,44,33,,43,39,49,38,38,50,47,53,48,47,39,53,35,,40,43.66666667,44.53846154
1/11,14,39,37,51,38,41,42,37,45,38,36,46,44,34,,44,39,50,38,39,51,47,53,47,48,41,53,37,,40.61538462,44.33333333,45.15384615
1/18,15,41,37,52,40,43,44,38,46,37,36,46,44,34,,44,40,52,38,41,52,48,53,47,48,42,54,38,,41.38461538,45.33333333,45.92307692
1/25,16,40,37,52,40,42,43,37,47,37,37,47,44,33,,43,40,50,36,41,53,48,53,48,47,43,54,39,,41.23076923,44.33333333,45.76923077
2/1,17,40,37,51,39,40,42,36,48,36,38,48,43,32,,42,40,49,34,42,54,49,53,50,47,43,53,39,,40.76923077,43.66666667,45.76923077
2/9,18,40.00,36.00,50.00,39.00,40.00,42.00,36.00,48.00,36.00,38.00,47.00,42.00,32.00,,42.00,40.00,50.00,35.00,43.00,54.00,50.00,53.00,50.00,47.00,43.00,54.00,44.00,,40.46153846,44,46.53846154
2/15,19,40,36,49,42,40,43,36,48,36,38,46,41,32,,42,40,50,36,43,55,50,53,50,48,43,56,47,,40.53846154,44,47.15384615
2/22,20,40,36,48,44,44,45,37,48,37,39,45,39,32,,47,43,43,54,43,57,50,55,52,46,48,57,51,,41.07692308,44.33333333,49.69230769
2/1,21,40,36,48,44,44,45,36,48,37,39,46,39,32,,46,43,43,54,43,57,50,55,52,46,47,57,51,,41.07692308,44,49.53846154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,