Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,190610_1,APOE44_males,A,Day1,1,MWM_150,6/10/19,54.1,11.929,0.22,0,0,,0.7,0.939,1.26,21.2,4.116,0.194,32.1,6.874,1.9,0.214,11.858,52,24.1,5.446,0.226,Control
2,190610_2,APOE44_males,A,Day1,1,MWM_150,6/10/19,60,16.965,0.283,0,0,,6.2,2.532,0.411,20.9,5.411,0.259,32.9,9.022,2.6,0.274,,,27.2,5.588,0.206,Control
3,190610_3,APOE44_males,A,Day1,1,MWM_150,6/10/19,45.9,9.929,0.216,0,0,,16.5,4.241,0.258,5.4,1.209,0.222,24,4.478,4,0.186,9.894,43.9,15.1,3.395,0.225,Control
4,190610_4,APOE44_males,A,Day1,1,MWM_150,6/10/19,8.9,1.557,0.175,0,0,,0,0,,2.5,0.443,0.179,6.4,1.114,1.9,0.173,1.45,6.8,0,0,,Control
5,190610_5,APOE44_males,A,Day1,1,MWM_150,6/10/19,43.2,12.458,0.288,0,0,,14.4,4.824,0.335,1.4,0.273,0.198,27.5,7.362,0,0.268,12.174,41.1,24.1,6.833,0.284,Control
6,190610_6,APOE44_females,B,Day1,1,MWM_150,6/10/19,60,11.456,0.191,24.5,4.726,0.193,0,0,,35.1,6.685,0.191,0,0,,,,,33.4,5.986,0.179,Control
7,190610_7,APOE44_females,B,Day1,1,MWM_150,6/10/19,54.7,10.47,0.191,0.8,0.121,0.154,19.9,3.47,0.174,5.1,0.54,0.105,28.9,6.34,0,0.22,10.359,52.7,28.7,5.341,0.186,Control
8,190610_8,APOE44_females,B,Day1,1,MWM_150,6/10/19,7.5,1.32,0.175,0,0,,1.5,0.259,0.168,0,0,,6,1.061,0,0.177,1.156,5.4,2.9,0.564,0.194,Control
9,190610_10,APOE44_females,B,Day1,1,MWM_150,6/10/19,60,16.942,0.282,3.3,0.8,0.246,14.8,3.705,0.251,11,3.209,0.293,31,9.227,0,0.297,,,9.1,3.823,0.418,Control
10,190610_1,APOE44_males,A,Day1,2,MWM_150,6/10/19,60,13.401,0.223,25.1,5.398,0.215,12.4,2.751,0.222,15.2,3.611,0.237,6.4,1.51,16.2,0.234,,,39.5,8.687,0.22,Control
11,190610_2,APOE44_males,A,Day1,2,MWM_150,6/10/19,48.3,9.934,0.206,16,3.444,0.216,3.5,0.77,0.221,18.2,3.887,0.213,10.6,1.833,8.6,0.173,9.863,46.2,23.1,4.522,0.196,Control
12,190610_3,APOE44_males,A,Day1,2,MWM_150,6/10/19,60,10.618,0.177,25.6,4.647,0.181,6,1.141,0.189,26.3,4.478,0.17,1.4,0.315,22.9,0.221,,,31.9,5.159,0.161,Control
13,190610_4,APOE44_males,A,Day1,2,MWM_150,6/10/19,60,12.694,0.212,7.3,1.701,0.232,22.4,4.113,0.183,11.3,2.494,0.22,18.9,4.387,2.4,0.232,,,21.8,4.658,0.214,Control
14,190610_5,APOE44_males,A,Day1,2,MWM_150,6/10/19,60,11.167,0.186,26.5,4.843,0.182,14.9,3.144,0.212,7.1,1.549,0.217,11.4,1.592,31.5,0.14,,,25.5,4.64,0.182,Control
15,190610_6,APOE44_females,B,Day1,2,MWM_150,6/10/19,60,9.893,0.165,36.5,5.579,0.153,13.9,2.599,0.186,5.8,1.162,0.199,2.4,0.313,57.6,0.13,,,39.1,6.009,0.154,Control
16,190610_7,APOE44_females,B,Day1,2,MWM_150,6/10/19,60,10.93,0.182,17.2,2.986,0.173,7.2,1.239,0.171,22.5,4.27,0.189,11.9,2.227,19.6,0.187,,,28.6,5.083,0.177,Control
17,190610_8,APOE44_females,B,Day1,2,MWM_150,6/10/19,60,10.129,0.169,39.1,6.603,0.169,5.7,0.793,0.14,13.3,2.419,0.182,0,0,,,,,41.6,6.384,0.153,Control
18,190610_10,APOE44_females,B,Day1,2,MWM_150,6/10/19,60,11.755,0.196,21,3.883,0.185,0.7,0.111,0.167,26.3,5.467,0.208,12,2.294,21.2,0.191,,,18.5,3.236,0.175,Control
19,190610_1,APOE44_males,A,Day1,3,MWM_150,6/10/19,60,9.78,0.163,23.2,3.669,0.158,18.7,2.443,0.131,14.3,2.916,0.204,3.6,0.666,39.5,0.185,,,37.3,5.097,0.137,Control
20,190610_2,APOE44_males,A,Day1,3,MWM_150,6/10/19,60,12.307,0.205,22.4,4.458,0.199,20.3,4.135,0.203,14.1,2.824,0.201,2.9,0.804,0,0.274,,,27.5,4.659,0.169,Control
21,190610_3,APOE44_males,A,Day1,3,MWM_150,6/10/19,60,7.982,0.133,19.7,2.654,0.135,36.9,5.036,0.137,0,0,,3.4,0.292,56.6,0.085,,,31.1,3.886,0.125,Control
22,190610_4,APOE44_males,A,Day1,3,MWM_150,6/10/19,17.3,2.144,0.124,0,0,,9.8,1.664,0.169,0,0,,7.5,0.48,9.4,0.064,2.108,15.2,0,0,,Control
23,190610_5,APOE44_males,A,Day1,3,MWM_150,6/10/19,60,23.722,0.395,0,0,,16.6,2.642,0.16,12.3,6.202,0.506,31.2,14.878,0,0.477,,,10.3,8.195,0.797,Control
24,190610_6,APOE44_females,B,Day1,3,MWM_150,6/10/19,60,10.644,0.177,15.8,2.712,0.172,13.2,2.303,0.174,14.2,3.028,0.213,16.8,2.601,19.1,0.155,,,11.5,2.189,0.191,Control
25,190610_7,APOE44_females,B,Day1,3,MWM_150,6/10/19,19.8,2.928,0.148,0,0,,8.9,1.626,0.183,0,0,,10.9,1.302,4.7,0.119,2.894,17.8,5.8,0.695,0.119,Control
26,190610_8,APOE44_females,B,Day1,3,MWM_150,6/10/19,53,12.469,0.235,0,0,,23.2,7.779,0.336,13.8,2.331,0.169,16,2.36,7.6,0.147,12.363,51,23,4.473,0.195,Control
27,190610_10,APOE44_females,B,Day1,3,MWM_150,6/10/19,16.1,2.953,0.184,5.2,1.01,0.193,5,1.178,0.236,0,0,,5.8,0.764,10.2,0.131,2.839,14,4.6,0.859,0.188,Control
28,190610_1,APOE44_males,A,Day1,4,MWM_150,6/10/19,60,9.334,0.156,23.7,3.8,0.16,9.4,1.648,0.176,22.1,3.083,0.14,4.5,0.709,14.8,0.158,,,39.9,5.663,0.142,Control
29,190610_2,APOE44_males,A,Day1,4,MWM_150,6/10/19,56,11.764,0.21,18.7,3.996,0.213,18.2,4.244,0.233,6.3,1.329,0.212,12.8,2.195,3.1,0.172,11.653,54,19,3.492,0.184,Control
30,190610_3,APOE44_males,A,Day1,4,MWM_150,6/10/19,60,10.227,0.17,29.3,4.823,0.164,7.8,1.477,0.189,17.8,2.925,0.164,4.8,0.956,7.8,0.197,,,25.7,3.836,0.15,Control
31,190610_4,APOE44_males,A,Day1,4,MWM_150,6/10/19,58,10.977,0.189,13.1,2.763,0.21,0.5,0.084,0.188,24.7,4.932,0.199,19.6,3.197,7.7,0.163,10.901,55.9,18.3,3.14,0.171,Control
32,190610_5,APOE44_males,A,Day1,4,MWM_150,6/10/19,18.2,2.709,0.149,0,0,,0,0,,13.4,2.24,0.167,4.8,0.469,13.4,0.097,2.675,16.2,5,0.719,0.143,Control
33,190610_6,APOE44_females,B,Day1,4,MWM_150,6/10/19,60,11.407,0.19,6.9,1.351,0.197,5.5,1.262,0.228,20.2,4.103,0.203,27.4,4.691,12.1,0.171,11.369,58.1,16.1,3.087,0.192,Control
34,190610_7,APOE44_females,B,Day1,4,MWM_150,6/10/19,22,3.366,0.153,1.4,0.23,0.169,0,0,,13.5,2.302,0.17,7.1,0.835,14.9,0.117,3.331,19.9,12.1,1.842,0.152,Control
35,190610_8,APOE44_females,B,Day1,4,MWM_150,6/10/19,9.8,1.427,0.145,0,0,,0,0,,4.3,0.718,0.165,5.5,0.71,3.7,0.13,1.316,7.7,1.5,0.157,0.106,Control
36,190610_10,APOE44_females,B,Day1,4,MWM_150,6/10/19,60,12.326,0.205,7.2,1.682,0.233,14.5,2.545,0.175,12.6,2.786,0.222,25.7,5.313,4.3,0.206,,,16.8,3.635,0.216,Control
37,190610_1,APOE44_males,A,Day2,1,MWM_150,6/11/19,26.3,2.946,0.112,17.7,1.395,0.079,0,0,,3.9,0.967,0.245,4.6,0.585,21.7,0.127,2.903,24.2,4.5,0.435,0.096,Control
38,190610_2,APOE44_males,A,Day2,1,MWM_150,6/11/19,60,13.803,0.23,18,3.709,0.206,25,5.612,0.224,11.7,3.313,0.284,5.3,1.169,29.2,0.221,,,23.7,5.519,0.233,Control
39,190610_3,APOE44_males,A,Day2,1,MWM_150,6/11/19,60,8.916,0.149,35.7,4.793,0.134,8.3,1.382,0.167,15,2.575,0.172,1,0.166,51.6,0.166,,,37.3,4.242,0.114,Control
40,190610_4,APOE44_males,A,Day2,1,MWM_150,6/11/19,15.6,2.806,0.18,6.2,1.18,0.191,0.9,0.226,0.244,3,0.62,0.206,5.5,0.779,8.2,0.143,2.806,13.5,0,0,,Control
41,190610_5,APOE44_males,A,Day2,1,MWM_150,6/11/19,60,12.151,0.203,16.1,3.579,0.223,1.1,0.218,0.191,36.9,7.025,0.19,5.9,1.329,14.4,0.226,,,19.4,3.193,0.164,Control
42,190610_6,APOE44_females,B,Day2,1,MWM_150,6/11/19,60,10.924,0.182,15.2,2.868,0.188,18.9,3.448,0.183,9.8,2.049,0.21,16.1,2.56,14.1,0.159,,,9,1.874,0.208,Control
43,190610_7,APOE44_females,B,Day2,1,MWM_150,6/11/19,12.4,1.852,0.149,1.4,0.296,0.205,0,0,,4,0.912,0.225,6.9,0.644,4.3,0.093,1.777,10.3,2,0.175,0.088,Control
44,190610_8,APOE44_females,B,Day2,1,MWM_150,6/11/19,34.1,7.079,0.208,6.9,1.538,0.222,8.5,1.618,0.19,12.6,2.472,0.197,6.1,1.452,9.3,0.239,6.61,32,2.8,0.664,0.239,Control
45,190610_10,APOE44_females,B,Day2,1,MWM_150,6/11/19,60,11.819,0.197,22.3,3.981,0.179,3.6,0.726,0.203,13.5,3.212,0.237,20.6,3.9,17.1,0.19,,,23.2,4.29,0.185,Control
46,190610_1,APOE44_males,A,Day2,2,MWM_150,6/11/19,7.3,1.544,0.211,0,0,,0,0,,1.9,0.771,0.408,5.4,0.773,1.9,0.142,1.419,5.3,1,0.257,0.26,Control
47,190610_2,APOE44_males,A,Day2,2,MWM_150,6/11/19,23.7,13.977,0.591,4.2,1.08,0.26,13.6,7.586,0.557,0.5,2.539,5.346,5.4,2.771,0.9,0.511,13.939,21.6,8.5,4.311,0.507,Control
48,190610_3,APOE44_males,A,Day2,2,MWM_150,6/11/19,16.5,3.977,0.241,0,0,,0.9,0.871,0.929,0.1,0.567,6.302,15.5,2.539,0,0.164,3.921,14.5,5.6,1.137,0.203,Control
49,190610_4,APOE44_males,A,Day2,2,MWM_150,6/11/19,7.3,0.795,0.109,0,0,,0,0,,0,0,,7.3,0.795,0,0.109,0.757,5.2,1.7,0.238,0.137,Control
50,190610_5,APOE44_males,A,Day2,2,MWM_150,6/11/19,60,20.528,0.342,5.7,1.155,0.204,15.2,5.717,0.377,12.1,4.483,0.371,27.1,9.174,0,0.339,,,13.7,6.336,0.463,Control
51,190610_6,APOE44_females,B,Day2,2,MWM_150,6/11/19,42,9.53,0.227,4.5,1.019,0.224,5.6,1.906,0.34,9.6,2.069,0.215,22.3,4.537,0,0.204,9.456,40,7.6,2.172,0.288,Control
52,190610_7,APOE44_females,B,Day2,2,MWM_150,6/11/19,56.7,9.425,0.166,4.9,0.626,0.127,11.8,2.035,0.172,20.8,3.532,0.17,19.2,3.231,0,0.169,9.339,54.7,14.8,2.152,0.145,Control
53,190610_8,APOE44_females,B,Day2,2,MWM_150,6/11/19,4.1,0.448,0.108,0,0,,1.7,0.373,0.222,0,0,,2.5,0.074,1.7,0.03,0.412,2,0,0,,Control
54,190610_10,APOE44_females,B,Day2,2,MWM_150,6/11/19,60,12.299,0.205,2.9,0.72,0.246,11.5,2.744,0.239,10.2,2.147,0.21,35.4,6.689,0,0.189,,,16,2.988,0.186,Control
55,190610_1,APOE44_males,A,Day2,3,MWM_150,6/11/19,37.5,7.984,0.213,1.6,0.374,0.228,11.5,2.597,0.226,5.8,1.449,0.248,18.6,3.564,3.8,0.192,7.949,35.5,8.1,1.636,0.201,Control
56,190610_2,APOE44_males,A,Day2,3,MWM_150,6/11/19,10.2,1.45,0.142,0,0,,0,0,,6.2,1.08,0.173,3.9,0.37,6.2,0.094,1.414,8.1,0,0,,Control
57,190610_3,APOE44_males,A,Day2,3,MWM_150,6/11/19,38.8,4.821,0.124,0,0,,0,0,,26.7,3.219,0.121,12.1,1.602,20.4,0.132,4.785,36.8,7.9,0.563,0.072,Control
58,190610_4,APOE44_males,A,Day2,3,MWM_150,6/11/19,60,9.373,0.156,3.6,0.764,0.213,6.6,1.226,0.185,15.2,1.929,0.127,34.5,5.454,8.6,0.158,,,9.6,1.305,0.136,Control
59,190610_5,APOE44_males,A,Day2,3,MWM_150,6/11/19,21,3.695,0.176,1.5,0.202,0.138,2.6,0.432,0.165,11.2,2.146,0.192,5.8,0.915,12.6,0.159,3.651,19,0.4,0.048,0.127,Control
60,190610_6,APOE44_females,B,Day2,3,MWM_150,6/11/19,29.4,17.098,0.582,6.3,1.112,0.178,8.2,7.542,0.923,5.6,5.257,0.945,9.4,3.186,0.9,0.34,17.098,27.3,1.5,0.815,0.552,Control
61,190610_7,APOE44_females,B,Day2,3,MWM_150,6/11/19,60,10.436,0.174,15.2,2.539,0.167,7.3,1.519,0.207,25.8,4.261,0.165,11.7,2.117,23.4,0.182,,,13.3,2.021,0.152,Control
62,190610_8,APOE44_females,B,Day2,3,MWM_150,6/11/19,10,1.351,0.136,0,0,,0,0,,1.4,0.262,0.193,8.6,1.089,1.4,0.126,1.351,7.9,0.7,0.083,0.128,Control
63,190610_10,APOE44_females,B,Day2,3,MWM_150,6/11/19,7.6,1.323,0.173,0,0,,0,0,,1.4,0.335,0.24,6.3,0.988,1.4,0.158,1.211,5.6,1.6,0.314,0.2,Control
64,190610_1,APOE44_males,A,Day2,4,MWM_150,6/11/19,37.1,6.981,0.188,15,3.133,0.209,19.8,3.665,0.185,0,0,,2.3,0.183,26.5,0.08,6.94,35,9.2,1.438,0.156,Control
65,190610_2,APOE44_males,A,Day2,4,MWM_150,6/11/19,31.5,8.241,0.262,10.5,1.874,0.178,9.5,3.113,0.327,7.6,2.744,0.362,3.8,0.511,14.4,0.134,8.159,29.4,5.5,1.788,0.327,Control
66,190610_3,APOE44_males,A,Day2,4,MWM_150,6/11/19,19,2.826,0.149,0,0,,13.1,2.159,0.165,0,0,,5.9,0.667,5.1,0.113,2.719,16.9,1.3,0.41,0.307,Control
67,190610_4,APOE44_males,A,Day2,4,MWM_150,6/11/19,28.4,4.279,0.151,2.1,0.376,0.178,12.5,1.639,0.132,3.3,0.808,0.248,10.5,1.455,0,0.138,4.245,26.3,9.3,1.204,0.13,Control
68,190610_5,APOE44_males,A,Day2,4,MWM_150,6/11/19,11.4,2.064,0.181,0,0,,6.6,1.645,0.249,0,0,,4.8,0.419,6.6,0.087,2.027,9.3,7.6,1.432,0.189,Control
69,190610_6,APOE44_females,B,Day2,4,MWM_150,6/11/19,6.2,0.532,0.086,0,0,,4.2,0.532,0.127,0,0,,2,0,4.2,0,0.532,4.2,0,0,,Control
70,190610_7,APOE44_females,B,Day2,4,MWM_150,6/11/19,37.5,5.896,0.157,8.4,1.376,0.164,10.9,1.515,0.139,8.4,1.645,0.195,9.7,1.36,24.3,0.14,5.822,35.4,4.6,0.659,0.144,Control
71,190610_8,APOE44_females,B,Day2,4,MWM_150,6/11/19,26.6,4.694,0.177,0.1,0.048,0.374,5.6,1.215,0.215,12,2.219,0.184,8.8,1.213,17.8,0.138,4.446,24.5,3.4,0.72,0.211,Control
72,190610_10,APOE44_females,B,Day2,4,MWM_150,6/11/19,19,3.381,0.178,0,0,,4.8,0.851,0.177,0,0,,14.2,2.53,3.8,0.179,3.056,16.9,4,0.704,0.176,Control
73,190610_1,APOE44_males,A,Day3,1,MWM_150,6/12/19,51.6,8.957,0.173,12.9,2.371,0.184,20.7,3.771,0.182,4.4,0.994,0.228,13.6,1.82,9.4,0.133,8.921,49.5,19.3,3.183,0.165,Control
74,190610_2,APOE44_males,A,Day3,1,MWM_150,6/12/19,11.2,2.995,0.266,0,0,,2.7,0.469,0.175,0,0,,8.6,2.526,2.7,0.295,2.953,9.1,2.7,0.469,0.175,Control
75,190610_3,APOE44_males,A,Day3,1,MWM_150,6/12/19,29.4,2.277,0.078,3.9,0.466,0.12,18.9,0.932,0.049,1,0.243,0.236,5.6,0.637,23.8,0.114,2.244,27.3,18.9,0.932,0.049,Control
76,190610_4,APOE44_males,A,Day3,1,MWM_150,6/12/19,49.9,8.483,0.17,6.4,1.184,0.185,26.5,4.341,0.164,3.1,0.735,0.236,13.8,2.222,4,0.161,8.408,47.8,18.3,2.916,0.159,Control
77,190610_5,APOE44_males,A,Day3,1,MWM_150,6/12/19,15.1,2.579,0.171,0,0,,10.9,1.94,0.178,0,0,,4.2,0.639,4.8,0.153,2.495,12.9,1,0.35,0.368,Control
78,190610_6,APOE44_females,B,Day3,1,MWM_150,6/12/19,14.5,2.319,0.16,0,0,,4.2,0.748,0.176,4.2,0.697,0.165,6,0.875,4.2,0.145,2.244,12.4,2.6,0.279,0.109,Control
79,190610_7,APOE44_females,B,Day3,1,MWM_150,6/12/19,8.8,4.308,0.49,0,0,,3.7,2.552,0.695,0,0,,5.1,1.756,0.9,0.343,4.218,6.7,0,0,,Control
80,190610_8,APOE44_females,B,Day3,1,MWM_150,6/12/19,22.3,4.246,0.19,3,0.719,0.242,2.2,0.329,0.151,6.1,1.214,0.199,11,1.984,6.9,0.18,4.246,20.2,2.7,0.548,0.206,Control
81,190610_10,APOE44_females,B,Day3,1,MWM_150,6/12/19,16.7,2.678,0.16,0.3,0.064,0.184,1.5,0.251,0.172,1,0.219,0.227,13.9,2.144,0.4,0.154,2.678,14.6,0,0,,Control
82,190610_1,APOE44_males,A,Day3,2,MWM_150,6/12/19,25.7,5.244,0.204,7.5,1.458,0.193,11.2,2.459,0.22,2.8,0.795,0.287,4.2,0.533,21.5,0.127,5.169,23.6,1.6,0.23,0.146,Control
83,190610_2,APOE44_males,A,Day3,2,MWM_150,6/12/19,25.8,6.179,0.24,2.7,0.829,0.311,5.6,1.447,0.257,2.7,0.842,0.312,14.8,3.062,1.1,0.207,6.179,23.7,4.7,0.998,0.212,Control
84,190610_3,APOE44_males,A,Day3,2,MWM_150,6/12/19,21.8,1.738,0.08,12.8,0.713,0.056,0,0,,0.7,0.126,0.192,8.4,0.899,13.4,0.107,1.663,19.8,0,0,,Control
85,190610_4,APOE44_males,A,Day3,2,MWM_150,6/12/19,50.2,8.663,0.172,9.8,2.068,0.212,7.6,1.587,0.208,11,2.167,0.198,21.9,2.841,10.1,0.13,8.629,48.1,12.5,2.059,0.165,Control
86,190610_5,APOE44_males,A,Day3,2,MWM_150,6/12/19,27.1,5.257,0.194,2.3,0.546,0.234,12.3,2.464,0.201,7,1.511,0.216,5.5,0.736,12.5,0.135,5.168,25,5.3,0.864,0.162,Control
87,190610_6,APOE44_females,B,Day3,2,MWM_150,6/12/19,9.3,1.642,0.176,0.9,0.26,0.279,1.4,0.52,0.368,0,0,,7,0.861,2.3,0.124,1.542,7.2,0,0,,Control
88,190610_7,APOE44_females,B,Day3,2,MWM_150,6/12/19,14.2,2.112,0.149,3.3,0.527,0.161,2,0.378,0.191,4.9,0.97,0.197,4,0.237,10.2,0.059,2.067,12.2,0,0,,Control
89,190610_8,APOE44_females,B,Day3,2,MWM_150,6/12/19,58.9,10.529,0.179,13.9,2.425,0.175,17.5,3.104,0.178,12.8,2.318,0.181,14.7,2.683,10.5,0.182,10.491,56.8,4.7,0.49,0.105,Control
90,190610_10,APOE44_females,B,Day3,2,MWM_150,6/12/19,12.9,1.929,0.15,0.9,0.258,0.275,0.3,0.114,0.34,0,0,,11.6,1.557,1.3,0.134,1.889,10.8,0,0,,Control
91,190610_1,APOE44_males,A,Day3,3,MWM_150,6/12/19,21,2.29,0.109,0,0,,2.7,0.356,0.129,6.4,0.65,0.102,11.8,1.285,3.2,0.109,2.239,18.9,0,0,,Control
92,190610_2,APOE44_males,A,Day3,3,MWM_150,6/12/19,10.3,1.758,0.172,0,0,,0,0,,1.3,0.371,0.296,9,1.387,1.3,0.154,1.704,8.2,0,0,,Control
93,190610_3,APOE44_males,A,Day3,3,MWM_150,6/12/19,23.4,2.913,0.124,0,0,,4.1,0.696,0.171,4.7,0.644,0.136,14.6,1.573,4.7,0.108,2.913,21.4,0.4,0.114,0.26,Control
94,190610_4,APOE44_males,A,Day3,3,MWM_150,6/12/19,16.7,1.079,0.065,0,0,,0,0,,3,0.432,0.144,13.7,0.647,3,0.047,1.041,14.6,0,0,,Control
95,190610_5,APOE44_males,A,Day3,3,MWM_150,6/12/19,31.9,5.54,0.174,0.7,0.109,0.167,0,0,,14.2,2.678,0.189,17.1,2.752,3.3,0.161,5.463,29.9,2.5,0.377,0.148,Control
96,190610_6,APOE44_females,B,Day3,3,MWM_150,6/12/19,6.3,0.858,0.137,0,0,,0,0,,2.8,0.543,0.193,3.4,0.315,2.8,0.091,0.858,4.2,0,0,,Control
97,190610_7,APOE44_females,B,Day3,3,MWM_150,6/12/19,7.7,0.904,0.117,0,0,,0,0,,2.9,0.387,0.135,4.8,0.517,2.9,0.107,0.87,5.6,0,0,,Control
98,190610_8,APOE44_females,B,Day3,3,MWM_150,6/12/19,18.1,2.967,0.164,0,0,,3.7,0.738,0.199,6.8,1.196,0.176,7.6,1.033,6.8,0.137,2.931,16,0,0,,Control
99,190610_10,APOE44_females,B,Day3,3,MWM_150,6/12/19,53,8.866,0.167,2,0.34,0.17,2.5,0.455,0.185,13.7,2.715,0.198,34.8,5.356,1.5,0.154,8.792,51,11.5,2.102,0.182,Control
100,190610_1,APOE44_males,A,Day3,4,MWM_150,6/12/19,50.3,9.302,0.185,2.9,0.622,0.218,19.4,3.53,0.182,2.3,0.471,0.207,25.7,4.679,0,0.182,9.265,48.2,2.9,0.513,0.18,Control
101,190610_2,APOE44_males,A,Day3,4,MWM_150,6/12/19,9,1.51,0.168,0,0,,1.2,0.242,0.202,0.1,0,0,7.7,1.268,1.2,0.165,1.44,7,0,0,,Control
102,190610_3,APOE44_males,A,Day3,4,MWM_150,6/12/19,19.3,3.491,0.181,4.3,0.78,0.181,3.9,0.925,0.235,3.9,0.844,0.216,7.2,0.943,1,0.132,3.491,17.3,0.7,0.12,0.18,Control
103,190610_4,APOE44_males,A,Day3,4,MWM_150,6/12/19,7.4,0.842,0.114,0,0,,0,0,,0,0,,7.4,0.842,0,0.114,0.803,5.2,0,0,,Control
104,190610_5,APOE44_males,A,Day3,4,MWM_150,6/12/19,23.6,4.563,0.193,1.2,0.315,0.258,2.3,0.578,0.247,8.5,1.957,0.23,11.5,1.714,3.7,0.149,4.488,21.5,0,0.353,27.145,Control
105,190610_6,APOE44_females,B,Day3,4,MWM_150,6/12/19,6.8,0.854,0.125,0,0,,0,0,,2,0.366,0.187,4.8,0.487,2,0.101,0.812,4.8,0.6,0.12,0.213,Control
106,190610_7,APOE44_females,B,Day3,4,MWM_150,6/12/19,9.5,0.888,0.093,0,0,,0,0,,0,0,,9.5,0.888,0,0.093,0.851,7.5,0,0,,Control
