Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
1,210809_1,E3HN,B,Day1,1,MWM_150,8/16/21,10.3,0.952,0.092,0,0,,0.4,0.074,0.202,0,0,,9.9,0.878,0,0.088,0.843,6.3,0,0,,Control,F,11.8
2,210809_2,E3HN,B,Day1,1,MWM_150,8/16/21,4.5,0.034,0.007,0,0,,0,0,,0,0,,4.5,0.034,0,0.007,,0.5,0,0,,Control,F,11.67
3,210809_3,E3HN,B,Day1,1,MWM_150,8/16/21,19.7,2.753,0.14,0,0,,0,0,,6.1,0.954,0.156,13.6,1.799,0,0.132,2.717,15.6,0,0,,Control,F,11.67
4,210809_4,E3HN,B,Day1,1,MWM_150,8/16/21,9.3,1.095,0.118,0,0,,0,0,,2.5,0.488,0.196,6.8,0.608,0.7,0.089,1.019,5.2,0,0,,Control,F,11.33
5,210809_5,E2HN,A,Day1,1,MWM_150,8/16/21,60,9.943,0.166,14.5,2.468,0.171,20.6,3.347,0.163,13.2,2.058,0.156,11.8,2.07,0,0.175,,,26.8,4.077,0.152,HFD,M,11.93
6,210809_6,E2HN,A,Day1,1,MWM_150,8/16/21,60,7.54,0.126,28.5,3.529,0.124,3.3,0.557,0.171,14.8,2.236,0.151,13.5,1.217,0,0.09,,,22,2.399,0.109,HFD,M,11.93
7,210809_7,E2HN,A,Day1,1,MWM_150,8/16/21,60,12.43,0.207,21,4.344,0.207,15.2,3.18,0.21,13.1,2.818,0.216,10.8,2.088,0,0.193,,,20.6,4.018,0.195,HFD,M,11.93
8,210809_8,E2HN,A,Day1,1,MWM_150,8/16/21,60,11.048,0.184,19.3,2.902,0.15,0.3,0.059,0.222,31.3,6.408,0.205,9.1,1.678,0.7,0.185,,,20.5,3.129,0.153,HFD,M,11.93
9,210809_1,E3HN,B,Day1,2,MWM_150,8/16/21,60,9.543,0.159,34.9,4.591,0.131,5,0.968,0.194,12.5,2.412,0.193,7.6,1.572,49.8,0.208,,,42.5,5.996,0.141,Control,F,11.8
10,210809_2,E3HN,B,Day1,2,MWM_150,8/16/21,11,1.468,0.133,2,0.318,0.161,0.8,0.148,0.193,2.5,0.557,0.22,5.7,0.445,4.6,0.077,1.365,6.9,0,0,,Control,F,11.67
11,210809_3,E3HN,B,Day1,2,MWM_150,8/16/21,59.8,9.703,0.162,11.2,1.997,0.178,7.7,1.303,0.17,9,1.824,0.203,31.9,4.578,7.1,0.143,9.703,55.7,28.8,4.307,0.15,Control,F,11.67
12,210809_4,E3HN,B,Day1,2,MWM_150,8/16/21,60,13.311,0.222,22.8,5.138,0.225,14.6,3.457,0.236,9.6,2.098,0.218,12.9,2.617,14.1,0.203,,,37.9,7.83,0.206,Control,F,11.33
13,210809_5,E2HN,A,Day1,2,MWM_150,8/16/21,60,9.805,0.163,16,2.449,0.153,12.3,2.174,0.176,18.5,2.815,0.152,13.1,2.367,15.6,0.181,,,32.5,5.108,0.157,HFD,M,11.93
14,210809_6,E2HN,A,Day1,2,MWM_150,8/16/21,60,7.519,0.125,14.2,1.785,0.126,9.5,1.397,0.147,12.1,1.473,0.122,24.2,2.863,13.9,0.118,,,14.8,1.717,0.116,HFD,M,11.93
15,210809_7,E2HN,A,Day1,2,MWM_150,8/16/21,60,11.34,0.189,33.3,6.283,0.189,15.3,2.633,0.172,6.3,1.287,0.205,5.1,1.137,25.7,0.223,,,41.6,8.007,0.192,HFD,M,11.93
16,210809_8,E2HN,A,Day1,2,MWM_150,8/16/21,60,10.846,0.181,16.4,2.718,0.166,10.3,1.932,0.188,22.4,3.733,0.167,10.9,2.463,16.1,0.225,,,28.2,4.52,0.16,HFD,M,11.93
17,210809_1,E3HN,B,Day1,3,MWM_150,8/16/21,60,10.855,0.181,10.3,2.414,0.234,30.2,4.6,0.152,11.9,2.396,0.201,7.6,1.445,19.3,0.191,,,37.3,6.789,0.182,Control,F,11.8
18,210809_2,E3HN,B,Day1,3,MWM_150,8/16/21,60,11.327,0.189,19.9,3.959,0.199,28.8,5.131,0.178,7,1.326,0.188,4.3,0.912,9.8,0.21,,,16.7,2.457,0.147,Control,F,11.67
19,210809_3,E3HN,B,Day1,3,MWM_150,8/16/21,60,11.966,0.199,13.2,3.037,0.229,18.5,3.613,0.195,9.3,2.264,0.244,19,3.053,24.1,0.161,,,35.7,6.864,0.192,Control,F,11.67
20,210809_4,E3HN,B,Day1,3,MWM_150,8/16/21,23.7,4.317,0.182,5.5,1.344,0.244,9.2,1.881,0.204,0,0,,9,1.092,3.7,0.122,4.317,19.6,3.7,0.511,0.139,Control,F,11.33
21,210809_5,E2HN,A,Day1,3,MWM_150,8/16/21,45.2,7.333,0.162,14.2,2.488,0.175,8.8,1.573,0.18,5.2,1.131,0.216,17,2.141,23.3,0.126,7.24,41.1,23.8,4.236,0.178,HFD,M,11.93
22,210809_6,E2HN,A,Day1,3,MWM_150,8/16/21,44.4,4.934,0.111,2.6,0.593,0.225,20.5,1.879,0.091,8.5,1.259,0.148,12.8,1.203,31.7,0.094,4.895,40.4,19.1,2.303,0.121,HFD,M,11.93
23,210809_7,E2HN,A,Day1,3,MWM_150,8/16/21,54.4,9.954,0.183,11.8,2.249,0.19,16.5,3.275,0.199,9.7,2.143,0.221,16.4,2.286,7.6,0.14,9.916,50.3,27.5,5.263,0.191,HFD,M,11.93
24,210809_8,E2HN,A,Day1,3,MWM_150,8/16/21,60,12.498,0.208,11.7,2.558,0.219,17.9,3.527,0.197,11.8,2.663,0.226,18.6,3.749,3.8,0.201,,,21.8,4.425,0.203,HFD,M,11.93
25,210809_1,E3HN,B,Day1,4,MWM_150,8/16/21,60,11.411,0.19,10,1.919,0.191,15.2,3.171,0.208,23.5,4.057,0.173,11.3,2.264,22.8,0.201,,,39.3,7.461,0.19,Control,F,11.8
26,210809_2,E3HN,B,Day1,4,MWM_150,8/16/21,60,9.509,0.158,5.8,0.683,0.118,0,0,,53.7,8.787,0.163,0.5,0.039,20.3,0.084,,,16.8,1.979,0.118,Control,F,11.67
27,210809_3,E3HN,B,Day1,4,MWM_150,8/16/21,58.1,10.854,0.187,3.8,0.544,0.143,8.7,2.033,0.233,26.9,5.183,0.193,18.7,3.094,9.3,0.166,10.818,54,25.3,4.632,0.183,Control,F,11.67
28,210809_4,E3HN,B,Day1,4,MWM_150,8/16/21,14,2.518,0.18,0,0,,0,0,,5,1.308,0.261,8.9,1.21,5,0.135,2.481,9.9,2.3,0.448,0.195,Control,F,11.33
29,210809_5,E2HN,A,Day1,4,MWM_150,8/16/21,60,10.312,0.172,16.1,2.421,0.151,3.1,0.523,0.167,30,5.289,0.177,10.8,2.078,6.1,0.192,,,33.4,5.564,0.166,HFD,M,11.93
30,210809_6,E2HN,A,Day1,4,MWM_150,8/16/21,30.2,3.507,0.116,0,0,,0,0,,19.3,2.434,0.126,10.9,1.073,19.3,0.098,3.462,26.2,8.1,0.906,0.112,HFD,M,11.93
31,210809_7,E2HN,A,Day1,4,MWM_150,8/16/21,60,11.4,0.19,14.6,2.923,0.201,18.4,3.46,0.188,13.2,2.238,0.169,13.8,2.78,7.9,0.201,,,32.5,5.968,0.184,HFD,M,11.93
32,210809_8,E2HN,A,Day1,4,MWM_150,8/16/21,17.9,1.833,0.102,0,0,,0,0,,11.9,1.534,0.129,6,0.299,11.9,0.049,1.788,13.9,0.8,0.094,0.122,HFD,M,11.93
33,210809_1,E3HN,B,Day2,1,MWM_150,8/17/21,60,9.752,0.163,21.8,3.937,0.181,24.5,3.419,0.139,13.1,2.251,0.172,0.6,0.144,59.4,0.242,,,28.3,3.193,0.113,Control,F,11.8
34,210809_2,E3HN,B,Day2,1,MWM_150,8/17/21,60,10.511,0.175,24.5,3.972,0.162,9.1,2.092,0.229,6.6,0.986,0.15,19.8,3.461,17.6,0.175,,,31.7,4.781,0.151,Control,F,11.67
35,210809_3,E3HN,B,Day2,1,MWM_150,8/17/21,60,10.467,0.174,21.7,3.55,0.164,1.2,0.254,0.212,26.4,4.735,0.179,10.7,1.927,25.6,0.18,,,24.9,4.496,0.18,Control,F,11.67
36,210809_4,E3HN,B,Day2,1,MWM_150,8/17/21,60,12.316,0.205,34.4,7.172,0.208,17.1,3.173,0.185,4.8,0.955,0.198,3.6,1.016,12.5,0.282,,,28.6,4.37,0.153,Control,F,11.33
37,210809_5,E2HN,A,Day2,1,MWM_150,8/17/21,60,9.858,0.164,30.2,4.916,0.163,0,0,,29.4,4.863,0.165,0.4,0.078,59.6,0.213,,,38.5,6.123,0.159,HFD,M,11.93
38,210809_6,E2HN,A,Day2,1,MWM_150,8/17/21,60,10.348,0.172,23.3,3.915,0.168,16.7,2.684,0.161,18.5,3.41,0.185,1.6,0.339,20.9,0.216,,,10.2,1.753,0.171,HFD,M,11.93
39,210809_7,E2HN,A,Day2,1,MWM_150,8/17/21,60,11.188,0.186,14,2.834,0.202,5.3,0.903,0.171,12.8,2.472,0.194,27.9,4.979,20.2,0.178,,,36.2,6.425,0.177,HFD,M,11.93
40,210809_8,E2HN,A,Day2,1,MWM_150,8/17/21,19.1,2.849,0.149,7.1,1.3,0.182,0,0,,6.5,1.252,0.194,5.5,0.297,13.6,0.054,2.765,15,3.2,0.485,0.149,HFD,M,11.93
41,210809_1,E3HN,B,Day2,2,MWM_150,8/17/21,7.6,0.456,0.06,0,0,,0,0,,1.3,0.18,0.139,6.3,0.276,0,0.044,0.423,3.5,0,0,,Control,F,11.8
42,210809_2,E3HN,B,Day2,2,MWM_150,8/17/21,49.8,7.898,0.159,13.9,2.703,0.194,0,0,,21.2,3.782,0.179,14.7,1.413,0,0.096,7.898,45.8,24.2,4.397,0.182,Control,F,11.67
43,210809_3,E3HN,B,Day2,2,MWM_150,8/17/21,23.7,4.394,0.185,8.7,1.978,0.226,3.2,0.581,0.182,3.8,0.952,0.249,7.9,0.882,2.6,0.111,4.36,19.6,3.9,0.683,0.177,Control,F,11.67
44,210809_4,E3HN,B,Day2,2,MWM_150,8/17/21,16.8,2.826,0.168,0,0,,0,0,,9,2.043,0.227,7.8,0.784,0,0.101,2.787,12.7,0,0,,Control,F,11.33
45,210809_5,E2HN,A,Day2,2,MWM_150,8/17/21,60,10.895,0.182,0,0,,16,2.885,0.181,12.6,2.307,0.183,31.4,5.702,0,0.182,,,30.1,5.149,0.171,HFD,M,11.93
46,210809_6,E2HN,A,Day2,2,MWM_150,8/17/21,60,9.037,0.151,11.1,1.877,0.169,17.8,2.414,0.136,14.2,2.143,0.15,16.9,2.602,0,0.154,,,42.9,6.25,0.146,HFD,M,11.93
47,210809_7,E2HN,A,Day2,2,MWM_150,8/17/21,60,10.234,0.171,12.7,2.253,0.177,14.9,2.547,0.171,12,2.31,0.193,20.4,3.125,0,0.153,10.234,58.7,26.8,4.816,0.18,HFD,M,11.93
48,210809_8,E2HN,A,Day2,2,MWM_150,8/17/21,20.8,2.837,0.136,1.9,0.386,0.203,2.1,0.414,0.201,8.1,1.319,0.163,8.8,0.718,0,0.082,2.837,16.7,0,0,,HFD,M,11.93
49,210809_1,E3HN,B,Day2,3,MWM_150,8/17/21,8.9,0.588,0.066,0,0,,0,0,,1.8,0.238,0.132,7.1,0.35,1.8,0.05,0.553,4.8,0,0,,Control,F,11.8
50,210809_2,E3HN,B,Day2,3,MWM_150,8/17/21,22.5,2.496,0.111,0,0,,0,0,,2.2,0.473,0.219,20.4,2.023,2.2,0.099,2.427,18.5,0.2,0.042,0.178,Control,F,11.67
51,210809_3,E3HN,B,Day2,3,MWM_150,8/17/21,60,10.094,0.168,10.9,1.632,0.149,9.4,1.819,0.194,21.4,3.984,0.186,18.3,2.659,25.5,0.145,,,14,1.759,0.126,Control,F,11.67
52,210809_4,E3HN,B,Day2,3,MWM_150,8/17/21,55.6,10.532,0.189,20.8,4.048,0.194,6,1.377,0.229,14.1,2.906,0.206,14.7,2.201,3.9,0.15,10.462,51.5,21.5,3.602,0.168,Control,F,11.33
53,210809_5,E2HN,A,Day2,3,MWM_150,8/17/21,60,10.201,0.17,7.1,1.056,0.149,15.5,2.734,0.177,24.2,3.969,0.164,13.3,2.442,23.2,0.184,,,9,1.561,0.173,HFD,M,11.93
54,210809_6,E2HN,A,Day2,3,MWM_150,8/17/21,25,2.597,0.104,0,0,,0,0,,15.8,1.943,0.123,9.2,0.653,9.4,0.071,2.597,20.9,0.9,0.165,0.183,HFD,M,11.93
55,210809_7,E2HN,A,Day2,3,MWM_150,8/17/21,8.8,0.873,0.099,0,0,,0,0,,3.8,0.626,0.165,5,0.247,3.8,0.049,0.794,4.8,0,0,,HFD,M,11.93
56,210809_8,E2HN,A,Day2,3,MWM_150,8/17/21,14.2,2.022,0.142,1.3,0.256,0.202,0.3,0.062,0.233,5,0.942,0.187,7.6,0.762,3,0.1,1.979,10.2,0,0,,HFD,M,11.93
57,210809_1,E3HN,B,Day2,4,MWM_150,8/17/21,18.2,2.362,0.13,0,0,,4.8,0.693,0.143,0,0,,13.3,1.669,4.8,0.125,2.329,14.1,1.8,0.255,0.141,Control,F,11.8
58,210809_2,E3HN,B,Day2,4,MWM_150,8/17/21,19.7,2.356,0.12,0,0,,14.4,2.06,0.143,0,0,,5.3,0.296,14.4,0.056,2.288,15.6,0,0,,Control,F,11.67
59,210809_3,E3HN,B,Day2,4,MWM_150,8/17/21,58.9,11.404,0.194,9.1,2.048,0.225,10.3,2.132,0.208,20.6,3.984,0.193,18.9,3.241,10.9,0.172,11.404,54.8,17.5,3.03,0.173,Control,F,11.67
60,210809_4,E3HN,B,Day2,4,MWM_150,8/17/21,54.2,11.14,0.206,8.6,1.843,0.215,18.3,3.739,0.204,12.8,3.144,0.246,14.5,2.413,8.5,0.166,11.106,50.1,11.6,2.027,0.174,Control,F,11.33
61,210809_5,E2HN,A,Day2,4,MWM_150,8/17/21,60,9.67,0.161,26.4,4.374,0.165,9,1.395,0.155,23,3.693,0.161,1.6,0.208,57.1,0.133,,,12.8,1.661,0.13,HFD,M,11.93
62,210809_6,E2HN,A,Day2,4,MWM_150,8/17/21,60,10.348,0.172,8.6,1.5,0.174,20.7,3.456,0.167,10.1,1.906,0.188,20.6,3.486,6.7,0.17,,,8.8,1.394,0.159,HFD,M,11.93
63,210809_7,E2HN,A,Day2,4,MWM_150,8/17/21,13.2,1.71,0.129,0,0,,2.5,0.46,0.187,0,0,,10.7,1.25,2.5,0.116,1.71,9.2,1.4,0.238,0.17,HFD,M,11.93
64,210809_8,E2HN,A,Day2,4,MWM_150,8/17/21,60,10.975,0.183,17.1,3.429,0.201,13.5,2.184,0.162,14.9,2.783,0.187,14.5,2.579,5.6,0.178,,,12,1.695,0.142,HFD,M,11.93
65,210809_1,E3HN,B,Day3,1,MWM_150,8/18/21,60,11.891,0.198,16.1,3.256,0.203,23.1,4.356,0.188,7.2,1.53,0.211,13.6,2.748,4,0.203,,,28.7,5.837,0.203,Control,F,11.8
66,210809_2,E3HN,B,Day3,1,MWM_150,8/18/21,60,10.757,0.179,7.3,1.259,0.172,29.1,5.31,0.183,3.4,0.25,0.074,20.2,3.938,7,0.195,,,16.8,2.557,0.152,Control,F,11.67
67,210809_3,E3HN,B,Day3,1,MWM_150,8/18/21,36,3.445,0.096,0,0,,21.2,2.203,0.104,0,0,,14.8,1.242,1.7,0.084,3.445,32,9.6,1.211,0.126,Control,F,11.67
68,210809_4,E3HN,B,Day3,1,MWM_150,8/18/21,10.4,1.259,0.121,0,0,,4.8,0.89,0.186,0,0,,5.7,0.37,4.8,0.065,1.223,6.4,0,0,,Control,F,11.33
69,210809_5,E2HN,A,Day3,1,MWM_150,8/18/21,60,10.411,0.174,29.8,5.051,0.169,8.7,1.566,0.179,9.7,1.657,0.171,11.8,2.137,27.9,0.182,,,22.3,3.499,0.157,HFD,M,11.93
70,210809_6,E2HN,A,Day3,1,MWM_150,8/18/21,48,6.77,0.141,7.3,1.442,0.198,16.1,2.149,0.133,9.4,1.785,0.189,15.2,1.394,32.9,0.092,6.77,44,5.9,0.512,0.086,HFD,M,11.93
71,210809_7,E2HN,A,Day3,1,MWM_150,8/18/21,7.1,0.708,0.1,0,0,,1.9,0.348,0.188,0,0,,5.2,0.36,1.9,0.069,0.641,3,0,0,,HFD,M,11.93
72,210809_8,E2HN,A,Day3,1,MWM_150,8/18/21,30.3,5.45,0.18,8.2,1.644,0.201,6.9,1.477,0.215,4.6,0.972,0.21,10.6,1.356,5.7,0.128,5.366,26.2,7.4,1.43,0.192,HFD,M,11.93
73,210809_1,E3HN,B,Day3,2,MWM_150,8/18/21,60,11.94,0.199,17.8,3.186,0.179,12.6,2.696,0.214,9.4,1.833,0.195,20.2,4.225,4.6,0.209,,,12.6,2.35,0.186,Control,F,11.8
74,210809_2,E3HN,B,Day3,2,MWM_150,8/18/21,16.9,1.668,0.099,0,0,,2.3,0.038,0.016,6.6,1.031,0.157,8,0.6,2.3,0.075,1.668,12.8,0,0,,Control,F,11.67
75,210809_3,E3HN,B,Day3,2,MWM_150,8/18/21,28.5,3.67,0.129,4.4,1.1,0.25,0,0,,4.3,0.956,0.224,19.8,1.614,8.7,0.082,3.637,24.4,2.9,0.438,0.151,Control,F,11.67
76,210809_4,E3HN,B,Day3,2,MWM_150,8/18/21,16.3,2.627,0.161,3.5,0.812,0.235,2,0.593,0.301,0,0,,10.8,1.222,5.4,0.113,2.627,12.2,0,0,,Control,F,11.33
77,210809_5,E2HN,A,Day3,2,MWM_150,8/18/21,58.5,9.629,0.165,19.3,3.116,0.162,10.9,1.831,0.169,11.3,2.219,0.196,17,2.463,17.4,0.145,9.591,54.4,38,6.87,0.181,HFD,M,11.93
78,210809_6,E2HN,A,Day3,2,MWM_150,8/18/21,24.7,3.501,0.142,6.7,1.128,0.169,3.4,0.688,0.202,0.7,0.141,0.211,14,1.544,4.7,0.111,3.458,20.7,0,0,,HFD,M,11.93
79,210809_7,E2HN,A,Day3,2,MWM_150,8/18/21,9.4,1.064,0.113,0.9,0.093,0.107,1.6,0.391,0.249,0,0,,7,0.58,2.4,0.083,1.024,5.4,0,0,,HFD,M,11.93
80,210809_8,E2HN,A,Day3,2,MWM_150,8/18/21,13.5,1.662,0.123,3.9,0.65,0.166,0,0,,3.6,0.748,0.21,6,0.264,7.5,0.044,1.62,9.4,0,0,,HFD,M,11.93
81,210809_1,E3HN,B,Day3,3,MWM_150,8/18/21,15,1.88,0.125,1,0.175,0.181,1.6,0.28,0.175,6.7,1.11,0.166,5.8,0.316,9.2,0.054,1.814,11,1.9,0.189,0.098,Control,F,11.8
82,210809_2,E3HN,B,Day3,3,MWM_150,8/18/21,60,9.644,0.161,3.6,0.985,0.274,3.3,0.865,0.262,26.2,3.323,0.127,26.9,4.471,20,0.166,,,16.6,2.621,0.158,Control,F,11.67
83,210809_3,E3HN,B,Day3,3,MWM_150,8/18/21,11.7,1.72,0.147,2.8,0.691,0.247,0,0,,3.8,0.796,0.21,5.1,0.233,6.6,0.046,1.681,7.6,0,0,,Control,F,11.67
84,210809_4,E3HN,B,Day3,3,MWM_150,8/18/21,60,13.359,0.223,9.3,2.143,0.23,7.9,1.843,0.232,17.5,3.958,0.226,25.2,5.415,1.1,0.215,,,5.5,1.192,0.217,Control,F,11.33
85,210809_5,E2HN,A,Day3,3,MWM_150,8/18/21,30.1,4.482,0.149,7.2,1.192,0.165,3.5,0.749,0.216,14.2,2.296,0.162,5.2,0.244,24.9,0.047,4.439,26.1,2.1,0.339,0.161,HFD,M,11.93
